"ip_dst	count"
".1	589522"
".129	3311"
".0	2960"
".169	2705"
".33	2657"
".130	2627"
".11	2538"
".102	2522"
".196	2508"
".176	2494"
".15	2482"
".175	2475"
".142	2472"
".48	2462"
".220	2461"
".54	2458"
".234	2452"
".136	2450"
".149	2445"
".104	2434"
