"ip_dst	count"
".1	580658"
".129	3442"
".2	3241"
".131	3200"
".89	3182"
".130	3061"
".173	2813"
".0	2812"
".132	2712"
".185	2602"
".91	2587"
".71	2582"
".3	2546"
".27	2544"
".215	2529"
".8	2510"
".105	2507"
".44	2495"
".168	2478"
".231	2474"
