src_country	count
Russia	378201
China	176080
United States	121825
Kazakhstan	82379
Singapore	24068
Belarus	23013
Ukraine	18276
India	15585
United Kingdom	14338
Canada	13741
Japan	12891
Germany	12472
Brazil	10850
Vietnam	10228
Israel	10216
France	10216
Hong Kong	9236
Moldova	8121
Taiwan	8018
Kyrgyzstan	7836
