ip_src	count
160.202.128.1	6752
151.236.92.3	6130
151.236.127.2	5882
91.231.239.2	5777
91.231.237.5	5737
62.152.61.227	5733
151.236.89.13	5727
185.141.224.6	5722
38.99.247.130	5719
89.218.82.128	5690
31.200.250.4	5667
93.92.69.34	5657
185.230.245.34	5654
151.236.101.19	5652
5.188.152.194	5643
151.236.64.24	5631
193.33.133.130	5627
178.49.133.3	5619
185.31.114.25	5612
151.236.106.4	5595
