src_country	count
Russia	242635
China	98924
United States	87155
Kazakhstan	49376
Singapore	16138
Belarus	13801
Ukraine	12359
United Kingdom	9660
Australia	9339
Vietnam	8487
India	8461
Japan	7847
Brazil	7378
France	7224
Canada	7128
Germany	7071
Hong Kong	6038
Moldova	5566
Taiwan	5345
Kyrgyzstan	5124
