tcp_flags	count
0x0002	39927402
	4506471
0x0012	236076
0x0010	48831
0x0014	40637
0x00c2	34185
0x0004	27004
0x0018	12020
0x0482	9433
0x0000	5585
0x0011	2562
0x001a	1600
0x0f02	785
0x0019	522
0x003f	466
0x0402	452
0x0052	107
0x0092	91
0x0022	82
0x00d2	71
0x0020	54
