tcp_srcport	count
0	4509227
61953	585255
50871	376169
41733	375772
59254	375684
48613	373603
50017	370188
58914	288524
8080	220567
26200	200196
55876	196320
1024	155098
55423	145239
42295	144254
60000	115292
80	112692
49719	87281
50158	84512
32768	80205
53951	77955
49831	77434
