protocol	count
TCP	40284333
UDP	1258844
ICMP	1196247
SIP	704861
NTP	224809
DNS	148996
SNMP	93500
SSDP	82177
MDNS	72174
MEMCACHE	66884
HTTP	59778
Portmap	52262
CoAP	51202
NBNS	49906
CLDAP	47937
OpenVPN	38371
STUN	35777
BACnet-APDU	30811
ISAKMP	29160
Chargen	29113
TFTP	27494
