src_country	count
United States	16844504
The Netherlands	6086731
China	4440582
Russia	2276202
Germany	1788079
South Korea	1342082
Taiwan	1198310
United Kingdom	1034638
South Africa	1030006
India	844481
France	812651
Bulgaria	645311
Singapore	489024
Vietnam	450342
Hong Kong	429201
Brazil	396663
Canada	373012
Indonesia	345910
Switzerland	294326
Japan	290054
Luxembourg	247455
