tcp_dstport	count
23	6605642
0	4507706
22	1196186
80	854705
3389	551279
445	522291
5555	520174
8080	509149
443	458806
81	405120
1433	380254
2375	279764
2222	228699
8081	224463
60023	213085
2323	205582
2376	186885
56575	184366
3128	171442
8443	169626
8888	137785
