udp_dstport	count
0	41548837
5060	350084
123	224565
53	131818
1900	116113
161	94611
1434	67610
11211	65694
5353	64841
53413	53094
5683	51224
6881	51208
137	49908
389	47940
500	41634
1194	38369
1027	38161
8080	37461
8000	36480
4000	36218
8081	35950
