src_country	count
Russia	334864
China	156935
United States	112704
Kazakhstan	69149
Belarus	21710
Singapore	20246
Ukraine	17151
United Kingdom	15596
India	14454
Germany	13073
Canada	11483
Vietnam	10035
Brazil	9775
Japan	9726
France	9716
Australia	8754
Taiwan	7728
Moldova	7418
South Africa	7309
Kyrgyzstan	7182
