"ip_dst	count"
".1	681553"
".0	4130"
".132	2583"
".99	2574"
".129	2442"
".36	2257"
".3	2160"
".130	2089"
".2	2078"
".189	2042"
".20	2033"
".131	2026"
".125	2003"
".52	1935"
".82	1895"
".248	1887"
".133	1878"
".164	1868"
".71	1861"
".88	1855"
