ip_src	count
151.236.79.4	9104
151.236.92.3	9051
151.236.127.2	8736
62.152.61.227	8535
93.92.69.34	8511
31.200.250.4	8474
91.231.239.2	8469
91.231.237.5	8447
185.230.245.34	8418
151.236.64.24	8417
5.188.152.194	8416
88.210.36.123	8406
185.31.114.25	8385
151.236.115.20	8381
151.236.89.13	8377
151.236.110.2	8349
38.99.247.130	8342
185.141.226.2	8341
151.236.106.4	8330
193.33.133.130	8327
