"ip_dst	count"
".1	537882"
".5	4633"
".134	4537"
".129	3667"
".131	3054"
".206	3039"
".235	2717"
".19	2684"
".40	2682"
".33	2662"
".75	2601"
".76	2596"
".211	2591"
".185	2561"
".50	2557"
".53	2552"
".133	2539"
".62	2539"
".65	2530"
".4	2523"
