ip_src	count
151.236.92.3	9852
151.236.79.4	9793
151.236.127.2	9374
151.236.95.14	9260
93.92.69.34	9259
151.236.105.7	9192
151.236.89.13	9158
91.231.239.2	9131
62.152.61.227	9106
91.231.237.5	9103
178.89.107.66	9091
89.218.82.128	9090
185.230.245.34	9080
151.236.64.24	9080
31.200.250.4	9069
5.188.152.194	9054
193.33.133.130	9053
151.236.110.2	9016
151.236.106.4	8998
88.210.36.123	8977
