"ip_dst	count"
".1	826114"
".0	7050"
".2	3072"
".99	2942"
".6	2489"
".132	2429"
".135	2335"
".3	2229"
".4	2165"
".8	2040"
".245	2020"
".131	1963"
".161	1960"
".110	1950"
".196	1866"
".5	1855"
".134	1838"
".11	1830"
".182	1807"
".130	1802"
