src_country	count
Russia	488221
China	119009
United States	118802
Kazakhstan	102954
Belarus	26682
Singapore	14462
Israel	13578
United Kingdom	13395
Ukraine	13074
South Africa	12587
Japan	11183
France	10621
Germany	10170
Canada	9233
Uzbekistan	9038
Moldova	8453
Kyrgyzstan	8267
The Netherlands	8184
Azerbaijan	7738
India	7055
