src_country	count
Russia	401526
China	138795
United States	125334
Kazakhstan	92685
Belarus	25743
Singapore	20052
Ukraine	19658
The Netherlands	15456
United Kingdom	14019
Israel	13153
France	11847
Japan	10328
Germany	9949
South Africa	9887
Vietnam	9733
Canada	9292
India	9244
Moldova	8233
Kyrgyzstan	8054
Azerbaijan	7547
