tcp_dstport	count
23	5382049
0	4558143
80	880514
22	871453
5555	722304
3389	566362
445	519676
8080	409562
443	405845
1433	335264
81	309471
60023	219864
2375	213831
34567	185366
8081	173951
2222	166811
8443	166456
3128	162329
2376	155242
8888	128480
8088	126859
