udp_srcport	count
0	44724073
5243	108488
5369	69832
5471	68676
55372	26167
57667	26162
49976	26156
45092	26156
45216	26153
49174	26151
5093	24497
5060	23620
5121	22877
5266	22083
6313	20460
8081	20026
1434	19076
6881	16196
5252	15617
5157	15537
8080	15410
