tcp_srcport	count
0	4564646
56246	2559895
57454	2559862
48518	376496
56054	376416
45150	376358
42870	376256
48680	375844
58914	297698
61953	294549
8080	204328
26200	179018
60000	158946
443	150047
1024	149764
55966	141973
54104	131755
41579	130072
54297	129017
54209	128820
61000	126602
