protocol	count
TCP	43511224
UDP	1191383
ICMP	1084032
SIP	1056291
NTP	236504
HTTP	131390
DNS	117154
SNMP	87150
MDNS	64812
SSDP	58075
MEMCACHE	57035
CoAP	47338
NBNS	44965
OpenVPN	42155
Portmap	41857
CLDAP	40649
STUN	30973
BACnet-APDU	28081
Chargen	26617
ISAKMP	24480
NAT-PMP	23393
