udp_srcport	count
0	98981950
5061	68304
5060	61292
53	56864
53079	52404
49205	52362
55063	52344
48868	52336
41301	52334
55360	49216
5135	35722
5066	35304
5423	33828
4000	33292
8081	32780
1434	31470
58914	30410
8000	30374
6881	30342
30301	28902
1027	28824
