udp_dstport	count
0	98981960
5060	843424
123	388042
53	330356
1900	269030
161	162620
5353	131940
1434	128470
6500	126532
137	116924
11211	113088
5683	100110
389	94354
500	91392
6881	91356
1194	88086
3702	85328
9034	79846
47808	72964
427	68668
8000	67288
