"ip_dst	count"
".1	1769680"
".178	533746"
".172	478242"
".151	469554"
".85	464762"
".244	452522"
".14	440640"
".35	434006"
".238	433886"
".77	431116"
".254	430402"
".20	428198"
".246	427254"
".225	427114"
".81	426276"
".80	426222"
".245	425992"
".0	423504"
".110	423222"
".179	422528"
".191	422522"
