tcp_flags	count
0x0002	95461694
	9290468
0x0012	651238
0x0000	210452
0x0010	157330
0x00c2	134056
0x0004	86946
0x0018	55112
0x0014	28228
0x0482	8520
0x001a	4632
0x0011	3694
0x0019	850
0x0092	538
0x003f	532
0x081b	286
0x0f12	222
0x00d2	216
0x0022	214
0x0052	136
0x0212	94
