protocol	count
TCP	96611862
UDP	2882762
ICMP	2169226
SIP	1384728
DNS	409028
NTP	388268
SSDP	210074
HTTP	184546
SNMP	162140
MDNS	145124
Portmap	118630
NBNS	116916
MEMCACHE	116766
CoAP	99354
CLDAP	94352
OpenVPN	87016
STUN	71238
ISAKMP	70910
BACnet-APDU	69264
SRVLOC	65116
NAT-PMP	59126
